UserId,Book_id,Rating,Titulo
1,258,5,La sombra del viento
2,4081,4, 
2,260,5,How to Win Friends and Influence People
2,9296,5,Das Drama des begabten Kindes und die Suche nach dem wahren Selbst: eine Um- und Fortschreibung
2,2318,3,The Millionaire Next Door: The Surprising Secrets of America's Wealthy
2,26,4,The Da Vinci Code
2,315,3,Who Moved My Cheese?
2,33,4,Memoirs of a Geisha
2,301,5,Heart of Darkness
2,2686,5,Blue Ocean Strategy: How to Create Uncontested Market Space and Make Competition Irrelevant
2,3753,5,"Harry Potter Collection (Harry Potter
2,8519,5,The House of God
4,70,4,Ender's Game
4,264,3,The Sun Also Rises
4,388,4,Hatchet
4,18,5,Harry Potter and the Prisoner of Azkaban
4,27,5,Harry Potter and the Half-Blood Prince
4,21,5,Harry Potter and the Order of the Phoenix
4,2,5,Harry Potter and the Philosopher's Stone
4,23,5,Harry Potter and the Chamber of Secrets
4,24,5,Harry Potter and the Goblet of Fire
4,964,4,The Hobbit and The Lord of the Rings
4,103,5,Le Comte de Monte-Cristo
4,255,2,Atlas Shrugged
4,35,5,O Alquimista
4,287,3,The Fountainhead
4,337,4,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story
4,26,3,The Da Vinci Code
4,84,4,Jurassic Park
4,58,4,The Adventures of Huckleberry Finn
4,1117,3,The Lost World
4,660,3,Congo
4,111,2,The Memory Keeper's Daughter
4,5,4,The Great Gatsby
4,413,4,Les Trois Mousquetaires
4,8,4,The Catcher in the Rye
4,2172,4,Welcome to the Monkey House
4,65,4,"Slaughterhouse-Five
4,297,4,Cat's Cradle
4,45,4,Life of Pi
4,113,4,Catch-22
4,325,5,A Prayer for Owen Meany
4,476,3,The World According to Garp
6,6351,4,Holy Cow: An Indian Adventure
8,2732,5,"Libellus vere aureus
8,1432,3,Manifest der Kommunistischen Partei
8,479,4,Il Principe
8,3020,5,Die Verwandlung und andere Erzählungen
8,6195,4,Amerika
8,614,4,Der Prozeß
8,4622,5,Franz Kafka's The Castle
8,9114,5,The Complete Tales and Poems of Edgar Allan Poe
8,194,4,"Moby Dick; or
8,14,5,Animal Farm: A Fairy Story
8,2584,5,Down and Out in Paris and London
8,55,5,Brave New World
8,772,4,Πολιτεία
8,778,5,Notre-Dame de Paris
8,1937,3,Out of the Silent Planet
8,493,5,Mere Christianity
8,362,5,A Grief Observed
8,1967,3,Τὰ εἰς ἑαυτόν 
8,529,5,Gulliver’s Travels
8,5425,5,Sonnenfinsternis
4,1237,5,The Shell Seekers
4,145,2,Deception Point
4,36,5,The Giver
4,102,5,Where the Wild Things Are
4,222,4,The Bourne Identity
4,200,4,Ten Little Niggers
4,13,4,Nineteen Eighty-Four
4,640,3,Prey
4,693,5,Sphere
4,575,3,Timeline
4,55,4,Brave New World
1,268,3,Never Let Me Go
1,5556,3,The Sea
1,3638,3,Housekeeping
1,1796,5,Gilead
1,867,3,The History of Love
1,47,3,The Book Thief
1,2738,3,Balzac et la Petite Tailleuse chinoise
4,1296,3,State of Fear
4,50,4,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein
4,87,5,Un di Velt Hot Geshvign
4,86,4,A Time to Kill
4,123,4,The Firm
4,32,4,Of Mice and Men 
4,28,3,Lord of the Flies 
4,33,3,Memoirs of a Geisha
4,42,5,Little Women
4,249,4,Extremely Loud and Incredibly Close
4,158,4,Charlie and the Chocolate Factory
4,373,4,The BFG
4,184,4,Matilda
4,495,4,A Heartbreaking Work of Staggering Genius
4,350,3,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream
4,492,4,Speaker for the Dead
4,219,4,The Chronicles of Narnia
4,288,4,The Hunt for Red October
4,11,4,The Kite Runner 
4,245,5,Bridge to Terabithia
4,301,4,Heart of Darkness
4,1057,3,The Testament
4,596,3,The Rainmaker
4,782,3,The Awakening
4,426,3,A Confederacy of Dunces
9,397,3,Das Parfum. Die Geschichte eines Mörders
9,658,4,The Corrections
9,101,5,Me Talk Pretty One Day
9,344,4,Naked
9,372,4,Dress Your Family in Corduroy and Denim
9,943,5,Holidays on Ice
9,1923,4,Barrel Fever: Stories and Essays
9,122,4,Wicked: The Life and Times of the Wicked Witch of the West
9,212,5,Atonement
9,1642,4,Song of Solomon
9,317,4,I Know Why the Caged Bird Sings
9,33,3,Memoirs of a Geisha
9,26,2,The Da Vinci Code
9,9,1,Angels & Demons 
9,81,1,The Glass Castle
9,60,5,The Curious Incident of the Dog in the Night-Time
9,494,2,The Secret History
9,238,3,Running with Scissors
9,14,4,Animal Farm: A Fairy Story
9,570,5,High Fidelity
9,795,4,About a Boy
9,2193,2,How to Be Good
9,11,1,The Kite Runner 
9,3417,5,Motherless Brooklyn
9,4139,5,The Mysteries of Pittsburgh
9,1055,4,Midnight's Children
9,181,5,In Cold Blood
9,5,5,The Great Gatsby
9,119,4,The Handmaid's Tale
9,4815,5,Blubber
9,1221,3,Summer Sisters
9,1301,2,The Broker
9,1986,2,The Innocent Man
9,1057,2,The Testament
9,1037,2,The Street Lawyer
9,963,2,The Partner
9,596,2,The Rainmaker
9,1388,2,The Last Juror
9,7868,2,The Firm
9,1407,2,The King of Torts
9,227,2,The Client
9,213,2,Die Verwandlung
9,587,4,Everything Is Illuminated
9,664,4,Breakfast at Tiffany's
9,476,2,The World According to Garp
9,325,2,A Prayer for Owen Meany
9,407,5,Bel Canto
9,1311,2,The Pilot's Wife
9,10,5,Pride and Prejudice
9,76,4,Sense and Sensibility
9,171,4,Emma
11,111,2,The Memory Keeper's Daughter
11,11,4,The Kite Runner 
11,94,5,Cien años de soledad
11,2559,5,Portnoy's Complaint
11,522,3,Cloud Atlas
11,258,3,La sombra del viento
11,408,3,"Guns
11,516,4,The Amazing Adventures of Kavalier & Clay
11,6944,3,A Man in Full
11,426,4,A Confederacy of Dunces
11,495,3,A Heartbreaking Work of Staggering Genius
11,574,3,Kitchen Confidential: Adventures in the Culinary Underbelly
11,8,5,The Catcher in the Rye
11,26,3,The Da Vinci Code
11,33,4,Memoirs of a Geisha
11,3560,5,The Plot Against America
11,233,5,El amor en los tiempos del cólera
11,325,4,A Prayer for Owen Meany
11,3703,3,The Human Stain
11,2079,4,American Pastoral
11,1853,3,Memoria de mis putas tristes
11,9606,3,La increíble y triste historia de la cándida Eréndira y de su abuela desalmada
11,7277,4,El otoño del patriarca
11,115,4,Middlesex
8,177,5,Преступление и наказание
11,47,4,The Book Thief
15,8,5,The Catcher in the Rye
15,2,4,Harry Potter and the Philosopher's Stone
15,5,4,The Great Gatsby
15,101,5,Me Talk Pretty One Day
15,4,3,To Kill a Mockingbird
15,24,4,Harry Potter and the Goblet of Fire
15,11,5,The Kite Runner 
15,27,4,Harry Potter and the Half-Blood Prince
15,18,4,Harry Potter and the Prisoner of Azkaban
15,21,3,Harry Potter and the Order of the Phoenix
15,65,5,"Slaughterhouse-Five
15,13,4,Nineteen Eighty-Four
15,33,5,Memoirs of a Geisha
15,26,3,The Da Vinci Code
15,2903,4,The Power of Myth
15,230,4,Persuasion
15,10,5,Pride and Prejudice
